Crop_Type,Region,Soil_Type,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Organic_Carbon,Moisture_Content,Rainfall_mm,Temperature_C,Plant_Age_Weeks,Fertilizer_Type,Recommended_Quantity_kg_per_acre,Application_Timing,District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link,N,P,K,EC,OC,S,Zn,Fe,Cu,Mn,B,Output,Temparature,Humidity ,Moisture,Soil Type,Crop Type,Phosphorous,Fertilizer Name,PH,Carbon,Soil,Remark
Groundnut,Tamil Nadu,Sandy,4.92,131.63,21.79,242.19,1.57,27.89,955.55,24.98,14.0,Complex,86.5,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Uttar Pradesh,Sandy,7.13,53.08,64.54,65.49,0.57,26.65,756.71,39.5,17.0,Potash,54.24,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Andhra Pradesh,Sandy,7.79,166.59,86.45,194.2,1.48,15.84,146.84,20.65,18.0,Urea,30.84,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Gujarat,Sandy,6.02,100.62,14.05,79.8,0.24,8.0,895.82,30.3,19.0,DAP,92.5,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Maharashtra,Silty,7.6,140.05,76.07,59.12,0.95,8.18,876.41,25.82,17.0,MOP,183.12,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato,Gujarat,Loamy,8.36,241.52,40.72,63.19,1.6,37.31,498.99,16.78,16.0,DAP,66.82,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Gujarat,Clay,5.32,129.81,53.07,258.54,0.81,29.12,627.28,27.2,8.0,Urea,61.14,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groundnut,Gujarat,Peaty,6.59,217.96,93.6,79.49,1.21,9.45,978.47,32.55,7.0,Compost,194.72,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Andhra Pradesh,Clay,5.65,87.71,39.88,61.29,0.57,17.49,579.07,27.83,12.0,MOP,29.38,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Gujarat,Clay,7.67,184.49,51.88,159.47,1.54,25.74,914.79,36.8,9.0,MOP,162.51,Mid-growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugarcane,Bihar,Loamy,6.81,245.4,11.23,261.0,0.29,34.25,174.73,22.22,14.0,Potash,81.24,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Andhra Pradesh,Loamy,7.04,70.38,17.34,115.6,1.73,6.53,271.95,17.16,1.0,Complex,31.56,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Bihar,Loamy,7.69,51.66,33.27,155.43,0.56,13.28,496.68,38.41,10.0,Potash,185.62,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maize,Andhra Pradesh,Sandy,6.08,136.72,12.51,59.98,1.77,36.14,626.28,24.45,17.0,MOP,49.44,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomato,Uttar Pradesh,Silty,8.16,68.53,66.82,162.27,0.83,5.32,834.61,29.41,17.0,MOP,121.56,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton,Punjab,Sandy,6.63,199.68,48.38,194.4,1.5,12.05,989.44,34.8,17.0,Complex,72.96,Flowering stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat,Tamil Nadu,Silty,5.13,232.91,59.33,192.73,0.77,38.57,449.97,23.11,4.0,DAP,36.41,After sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millet,Gujarat,Silty,7.28,136.8,25.72,133.11,1.83,26.47,142.67,32.9,17.0,Complex,33.74,Before sowing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
